date,chemical,ccg_name,ccg_ods,total_list_size,items,actual_cost
2017-02-01,Apixaban,NHS East Leicestershire and Rutland CCG,03W,324079,1035,49623.32
2017-02-01,Apixaban,NHS Leicester City CCG,04C,399384,783,37509.55
2017-02-01,Apixaban,NHS West Leicestershire CCG,04V,384945,850,38301.01
2017-02-01,Apixaban,NHS Cannock Chase CCG,04Y,132019,396,19839.03
2017-02-01,Apixaban,NHS East Staffordshire CCG,05D,139866,537,25538.51
2017-02-01,Apixaban,NHS North Staffordshire CCG,05G,217407,1064,53761.4
2017-02-01,Apixaban,NHS South East Staffordshire and Seisdon Peninsula CCG,05Q,211933,1125,41761.56
2017-02-01,Apixaban,NHS Stafford and Surrounds CCG,05V,147808,707,35298.01
2017-02-01,Apixaban,NHS Stoke on Trent CCG,05W,288462,1335,63793.97
2017-02-01,Apixaban,NHS Cambridgeshire and Peterborough CCG,06H,947306,1647,73109.07
2017-02-01,Apixaban,NHS East and North Hertfordshire CCG,06K,591919,2897,112359.31
2017-02-01,Apixaban,NHS Ipswich and East Suffolk CCG,06L,403520,981,49115.28
2017-02-01,Apixaban,NHS Herts Valleys CCG,06N,638326,3302,149890.83
2017-02-01,Apixaban,NHS Mid Essex CCG,06Q,387474,1554,65399.58
2017-02-01,Apixaban,NHS North East Essex CCG,06T,346715,2395,111425.25
2017-02-01,Apixaban,NHS Thurrock CCG,07G,173375,758,33777.07
2017-02-01,Apixaban,NHS West Essex CCG,07H,307828,1125,49819.33
2017-02-01,Apixaban,NHS West Suffolk CCG,07K,248162,647,29202.98
2017-02-01,Apixaban,NHS Brighton and Hove CCG,09D,311300,199,9521.46
2017-02-01,Apixaban,NHS Oxfordshire CCG,10Q,727539,3564,157016.6
2017-02-01,Apixaban,NHS Portsmouth CCG,10R,227288,1096,49659.63
2017-02-01,Apixaban,NHS Dorset CCG,11J,793397,4402,227635.6
2017-02-01,Apixaban,NHS Gloucestershire CCG,11M,635601,967,37112.7
2017-02-01,Apixaban,NHS Kernow CCG,11N,567839,1653,71622.28
2017-02-01,Apixaban,NHS Somerset CCG,11X,568166,2258,117673.09
2017-02-01,Apixaban,NHS Wirral CCG,12F,335116,2052,107363.91
2017-02-01,Apixaban,NHS Newcastle Gateshead CCG,13T,520441,1302,41503.69
2017-02-01,Apixaban,NHS Manchester CCG,14L,624967,1301,57547.02
2017-02-01,Apixaban,NHS Buckinghamshire CCG,14Y,551819,1702,85433
2017-02-01,Apixaban,NHS Berkshire West CCG,15A,534890,1468,70144.37
2017-02-01,Apixaban,"NHS Bristol, North Somerset and South Gloucestershire CCG",15C,988992,4086,149993.75
2017-02-01,Apixaban,NHS Birmingham and Solihull CCG,15E,1296316,4897,263001.27
2017-02-01,Apixaban,NHS Leeds CCG,15F,868223,1865,83260.41
2017-02-01,Apixaban,NHS Derby and Derbyshire CCG,15M,1041003,2206,113133.1
2017-02-01,Apixaban,NHS Devon CCG,15N,1208233,2842,120442.17
2017-02-01,Apixaban,NHS Tees Valley CCG,16C,698133,2078,94067.01
2017-02-01,Apixaban,NHS Herefordshire and Worcestershire CCG,18C,783640,3254,149129.78
2017-02-01,Apixaban,NHS Norfolk and Waveney CCG,26A,1041825,2918,132643.68
2017-02-01,Apixaban,NHS Cheshire CCG,27D,756089,3268,158217.01
2017-02-01,Apixaban,NHS Bradford District and Craven CCG,36J,625850,1046,39963.87
2017-02-01,Apixaban,NHS South West London CCG,36L,1631329,2952,108798.69
2017-02-01,Apixaban,NHS North Yorkshire CCG,42D,424667,1408,64507.38
2017-02-01,Apixaban,NHS Nottingham and Nottinghamshire CCG,52R,1066923,2026,99823.42
2017-02-01,Apixaban,NHS West Sussex CCG,70F,877787,3207,166181.21
2017-02-01,Apixaban,NHS Lincolnshire CCG,71E,781398,5664,216774.96
2017-02-01,Apixaban,NHS South East London CCG,72Q,1913971,2884,123717.09
2017-02-01,Apixaban,NHS Northamptonshire CCG,78H,747212,1976,92885.92
2017-02-01,Apixaban,NHS County Durham CCG,84H,547447,2726,89002.34
2017-02-01,Apixaban,NHS Kent and Medway CCG,91Q,1860311,5980,292050.93
2017-02-01,Apixaban,NHS Surrey Heartlands CCG,92A,1080428,1981,102110.3
2017-02-01,Apixaban,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",92G,917210,6498,282130.6
2017-02-01,Apixaban,NHS North Central London CCG,93C,1580041,2301,97820.05
2017-02-01,Apixaban,NHS East Sussex CCG,97R,551665,1685,83566.97
2017-02-01,Apixaban,NHS Liverpool CCG,99A,521357,1664,78769.13
2017-02-01,Apixaban,NHS North Tyneside CCG,99C,217939,902,30159.86
2017-02-01,Apixaban,NHS Basildon and Brentwood CCG,99E,276251,1150,55144.42
2017-02-01,Apixaban,NHS Castle Point and Rochford CCG,99F,184465,970,49481.01
2017-02-01,Apixaban,NHS Southend CCG,99G,186689,735,41839.44
2017-02-01,Apixaban,NHS North East London CCG,A3A8R,2117153,5181,184423.26
2017-02-01,Apixaban,NHS Coventry and Warwickshire CCG,B2M3M,974904,619,29512.44
2017-02-01,Apixaban,NHS Black Country and West Birmingham CCG,D2P2L,1440674,2491,125193.3
2017-02-01,Apixaban,NHS Frimley CCG,D4U1Y,774755,2112,105036.34
2017-02-01,Apixaban,"NHS Hampshire, Southampton and Isle of Wight CCG",D9Y0V,1624373,6269,338458.37
2017-02-01,Apixaban,"NHS Bedfordshire, Luton and Milton Keynes CCG",M1J4Y,990277,3299,168578.96
2017-02-01,Apixaban,"NHS Shropshire, Telford and Wrekin CCG",M2L0M,489877,1921,97527.13
2017-02-01,Apixaban,NHS North West London CCG,W2U3Z,2341773,5603,201567.3
2017-02-01,Apixaban,NHS Kirklees CCG,X2C4Y,438081,1457,54747.81
2017-03-01,Apixaban,NHS Northumberland CCG,00L,323238,1616,60189.28
2017-03-01,Apixaban,NHS South Tyneside CCG,00N,156365,1512,50041.81
2017-03-01,Apixaban,NHS Sunderland CCG,00P,283951,1993,65115.47
2017-03-01,Apixaban,NHS Blackburn with Darwen CCG,00Q,173403,406,20945.73
2017-03-01,Apixaban,NHS Blackpool CCG,00R,172823,842,35566.43
2017-03-01,Apixaban,NHS Bolton CCG,00T,305964,1353,63589.12
2017-03-01,Apixaban,NHS Bury CCG,00V,202045,1066,56743.7
2017-03-01,Apixaban,NHS Chorley and South Ribble CCG,00X,181199,857,42936.78
2017-03-01,Apixaban,NHS Oldham CCG,00Y,251660,1065,51075.75
2017-03-01,Apixaban,NHS East Lancashire CCG,01A,377854,1030,50028.24
2017-03-01,Apixaban,"NHS Heywood, Middleton and Rochdale CCG",01D,230092,1003,51277.07
2017-03-01,Apixaban,NHS Greater Preston CCG,01E,205861,785,35225.69
2017-03-01,Apixaban,NHS Halton CCG,01F,130406,1029,53614.89
2017-03-01,Apixaban,NHS Salford CCG,01G,266783,1024,30382.6
2017-03-01,Apixaban,NHS North Cumbria CCG,01H,323008,1469,68000.27
2017-03-01,Apixaban,NHS Knowsley CCG,01J,163244,1012,49736.71
2017-03-01,Apixaban,NHS Morecambe Bay CCG,01K,349833,658,28565.37
2017-03-01,Apixaban,NHS South Sefton CCG,01T,154779,732,36638.36
2017-03-01,Apixaban,NHS Southport and Formby CCG,01V,123979,1186,51765.15
2017-03-01,Apixaban,NHS Stockport CCG,01W,309069,2188,94086.05
2017-03-01,Apixaban,NHS St Helens CCG,01X,196305,1636,82341.15
2017-03-01,Apixaban,NHS Tameside and Glossop CCG,01Y,245804,866,42037.92
2017-03-01,Apixaban,NHS Trafford CCG,02A,239819,1736,63812.36
2017-03-01,Apixaban,NHS Warrington CCG,02E,216335,1130,61324.27
2017-03-01,Apixaban,NHS West Lancashire CCG,02G,113115,636,31364.42
2017-03-01,Apixaban,NHS Wigan Borough CCG,02H,325147,1141,65342.61
2017-03-01,Apixaban,NHS Fylde and Wyre CCG,02M,169527,918,39595.42
2017-03-01,Apixaban,NHS Barnsley CCG,02P,257418,2519,85133.15
2017-03-01,Apixaban,NHS Bassetlaw CCG,02Q,115648,1137,55754.24
2017-03-01,Apixaban,NHS Calderdale CCG,02T,219458,1258,44401.37
2017-03-01,Apixaban,NHS Doncaster CCG,02X,317090,2401,115680.49
2017-03-01,Apixaban,NHS East Riding of Yorkshire CCG,02Y,301587,1760,79520.8
2017-03-01,Apixaban,NHS Hull CCG,03F,295374,2040,79190.73
2017-03-01,Apixaban,NHS North East Lincolnshire CCG,03H,169001,592,23656.35
2017-03-01,Apixaban,NHS North Lincolnshire CCG,03K,172557,833,37036.41
2017-03-01,Apixaban,NHS Rotherham CCG,03L,260737,1518,69624.8
2017-03-01,Apixaban,NHS Sheffield CCG,03N,594647,2938,120297.26
2017-03-01,Apixaban,NHS Vale of York CCG,03Q,351348,2352,109564.75
2017-03-01,Apixaban,NHS Wakefield CCG,03R,368260,1551,76241.39
2017-03-01,Apixaban,NHS East Leicestershire and Rutland CCG,03W,324079,1261,59822.53
2017-03-01,Apixaban,NHS Leicester City CCG,04C,399384,929,44096.02
2017-03-01,Apixaban,NHS West Leicestershire CCG,04V,384945,1039,46607.49
2017-03-01,Apixaban,NHS Cannock Chase CCG,04Y,132019,536,26266.32
2017-03-01,Apixaban,NHS East Staffordshire CCG,05D,139866,642,30976.2
2017-03-01,Apixaban,NHS North Staffordshire CCG,05G,217407,1317,65023.13
2017-03-01,Apixaban,NHS South East Staffordshire and Seisdon Peninsula CCG,05Q,211933,1371,52042.3
2017-03-01,Apixaban,NHS Stafford and Surrounds CCG,05V,147808,842,42917.73
2017-03-01,Apixaban,NHS Stoke on Trent CCG,05W,288462,1571,76373.48
2017-03-01,Apixaban,NHS Cambridgeshire and Peterborough CCG,06H,947306,2011,89369.79
2017-03-01,Apixaban,NHS East and North Hertfordshire CCG,06K,591919,3464,135696.65
2017-03-01,Apixaban,NHS Ipswich and East Suffolk CCG,06L,403520,1092,55285.45
2017-03-01,Apixaban,NHS Herts Valleys CCG,06N,638326,3846,175382.26
2017-03-01,Apixaban,NHS Mid Essex CCG,06Q,387474,1865,78834.85
2017-03-01,Apixaban,NHS North East Essex CCG,06T,346715,2944,137613.59
2017-03-01,Apixaban,NHS Thurrock CCG,07G,173375,923,39135.09
2017-03-01,Apixaban,NHS West Essex CCG,07H,307828,1329,57559.95
2017-03-01,Apixaban,NHS West Suffolk CCG,07K,248162,767,35991.51
2017-03-01,Apixaban,NHS Brighton and Hove CCG,09D,311300,223,10806.96
2017-03-01,Apixaban,NHS Oxfordshire CCG,10Q,727539,4422,200578.32
2017-03-01,Apixaban,NHS Portsmouth CCG,10R,227288,1296,57402.39
2017-03-01,Apixaban,NHS Dorset CCG,11J,793397,5373,280221.79
2017-03-01,Apixaban,NHS Gloucestershire CCG,11M,635601,1172,45537.09
2017-03-01,Apixaban,NHS Kernow CCG,11N,567839,2015,87500.69
2017-03-01,Apixaban,NHS Somerset CCG,11X,568166,2604,137820.78
2017-03-01,Apixaban,NHS Wirral CCG,12F,335116,2551,133714.81
2017-03-01,Apixaban,NHS Newcastle Gateshead CCG,13T,520441,1590,50592.94
2017-03-01,Apixaban,NHS Manchester CCG,14L,624967,1644,72305.33
2017-03-01,Apixaban,NHS Buckinghamshire CCG,14Y,551819,2033,102965.34
2017-03-01,Apixaban,NHS Berkshire West CCG,15A,534890,1785,84422.58
2017-03-01,Apixaban,"NHS Bristol, North Somerset and South Gloucestershire CCG",15C,988992,4852,178912.93
2017-03-01,Apixaban,NHS Birmingham and Solihull CCG,15E,1296316,5920,318514.35
2017-03-01,Apixaban,NHS Leeds CCG,15F,868223,2216,95365.49
2017-03-01,Apixaban,NHS Derby and Derbyshire CCG,15M,1041003,2693,140528.88
2017-03-01,Apixaban,NHS Devon CCG,15N,1208233,3422,149861.19
2017-03-01,Apixaban,NHS Tees Valley CCG,16C,698133,2579,113513.46
2017-03-01,Apixaban,NHS Herefordshire and Worcestershire CCG,18C,783640,3853,179350.13
2017-03-01,Apixaban,NHS Norfolk and Waveney CCG,26A,1041825,3407,155800.25
2017-03-01,Apixaban,NHS Cheshire CCG,27D,756089,4088,196248.49
2017-03-01,Apixaban,NHS Bradford District and Craven CCG,36J,625850,1221,46105.26
2017-03-01,Apixaban,NHS South West London CCG,36L,1631329,3600,130018.32
2017-03-01,Apixaban,NHS North Yorkshire CCG,42D,424667,1689,77947.55
2017-03-01,Apixaban,NHS Nottingham and Nottinghamshire CCG,52R,1066923,2550,122173.29
2017-03-01,Apixaban,NHS West Sussex CCG,70F,877787,3936,200509.3
2017-03-01,Apixaban,NHS Lincolnshire CCG,71E,781398,6631,252858.08
2017-03-01,Apixaban,NHS South East London CCG,72Q,1913971,3554,153497.47
2017-03-01,Apixaban,NHS Northamptonshire CCG,78H,747212,2481,115030.98
2017-03-01,Apixaban,NHS County Durham CCG,84H,547447,3389,111702.29
2017-03-01,Apixaban,NHS Kent and Medway CCG,91Q,1860311,7172,351800.88
2017-03-01,Apixaban,NHS Surrey Heartlands CCG,92A,1080428,2358,124919.43
2017-03-01,Apixaban,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",92G,917210,7647,330794.5
2017-03-01,Apixaban,NHS North Central London CCG,93C,1580041,2774,121598.03
2017-03-01,Apixaban,NHS East Sussex CCG,97R,551665,1962,96066.24
2017-03-01,Apixaban,NHS Liverpool CCG,99A,521357,2103,100102.62
2017-03-01,Apixaban,NHS North Tyneside CCG,99C,217939,1073,35309.17
2017-03-01,Apixaban,NHS Basildon and Brentwood CCG,99E,276251,1355,67402.92
2017-03-01,Apixaban,NHS Castle Point and Rochford CCG,99F,184465,1127,55998.1
2017-03-01,Apixaban,NHS Southend CCG,99G,186689,857,50325.17
2017-03-01,Apixaban,NHS North East London CCG,A3A8R,2117153,5990,220116.67
2017-03-01,Apixaban,NHS Coventry and Warwickshire CCG,B2M3M,974904,829,40074.72
2017-03-01,Apixaban,NHS Black Country and West Birmingham CCG,D2P2L,1440674,2866,146293.87
2017-03-01,Apixaban,NHS Frimley CCG,D4U1Y,774755,2590,129946.36
2017-03-01,Apixaban,"NHS Hampshire, Southampton and Isle of Wight CCG",D9Y0V,1624373,7383,391271.09
2017-03-01,Apixaban,"NHS Bedfordshire, Luton and Milton Keynes CCG",M1J4Y,990277,3954,200150.76
2017-03-01,Apixaban,"NHS Shropshire, Telford and Wrekin CCG",M2L0M,489877,2419,120838.14
2017-03-01,Apixaban,NHS North West London CCG,W2U3Z,2341773,6928,252024.1
2017-03-01,Apixaban,NHS Kirklees CCG,X2C4Y,438081,1761,67140.03
2017-04-01,Apixaban,NHS Northumberland CCG,00L,323439,1514,58571.52
2017-04-01,Apixaban,NHS South Tyneside CCG,00N,156405,1399,46389.96
2017-04-01,Apixaban,NHS Sunderland CCG,00P,284141,1814,57985.38
2017-04-01,Apixaban,NHS Blackburn with Darwen CCG,00Q,173797,393,20791.16
2017-04-01,Apixaban,NHS Blackpool CCG,00R,172887,755,30968.83
2017-04-01,Apixaban,NHS Bolton CCG,00T,306776,1323,62236.07
2017-04-01,Apixaban,NHS Bury CCG,00V,202424,1066,55968.34
2017-04-01,Apixaban,NHS Chorley and South Ribble CCG,00X,181931,766,36895.92
2017-04-01,Apixaban,NHS Oldham CCG,00Y,252720,942,45041.65
2017-04-01,Apixaban,NHS East Lancashire CCG,01A,378849,1043,49959.65
2017-04-01,Apixaban,"NHS Heywood, Middleton and Rochdale CCG",01D,230919,944,46533.57
2017-04-01,Apixaban,NHS Greater Preston CCG,01E,206261,772,33546.96
2017-04-01,Apixaban,NHS Halton CCG,01F,130585,904,46483.12
2017-04-01,Apixaban,NHS Salford CCG,01G,267839,1003,29953.07
2017-04-01,Apixaban,NHS North Cumbria CCG,01H,323146,1422,67489.89
2017-04-01,Apixaban,NHS Knowsley CCG,01J,163441,944,46368.93
2017-04-01,Apixaban,NHS Morecambe Bay CCG,01K,349808,660,29653.22
2017-04-01,Apixaban,NHS South Sefton CCG,01T,154661,660,32819.65
2017-04-01,Apixaban,NHS Southport and Formby CCG,01V,124155,1112,49291.82
2017-04-01,Apixaban,NHS Stockport CCG,01W,309894,2010,86100.11
2017-04-01,Apixaban,NHS St Helens CCG,01X,196435,1436,73979.39
2017-04-01,Apixaban,NHS Tameside and Glossop CCG,01Y,246321,796,38475.29
2017-04-01,Apixaban,NHS Trafford CCG,02A,240324,1611,57473.54
2017-04-01,Apixaban,NHS Warrington CCG,02E,216839,1053,57218.84
2017-04-01,Apixaban,NHS West Lancashire CCG,02G,113228,549,26432.67
2017-04-01,Apixaban,NHS Wigan Borough CCG,02H,325900,1099,64231.03
2017-04-01,Apixaban,NHS Fylde and Wyre CCG,02M,169519,885,37083.47
2017-04-01,Apixaban,NHS Barnsley CCG,02P,257794,2352,78008.5
2017-04-01,Apixaban,NHS Bassetlaw CCG,02Q,116044,1053,51279.95
2017-04-01,Apixaban,NHS Calderdale CCG,02T,219703,1162,42773.12
2017-04-01,Apixaban,NHS Doncaster CCG,02X,317514,2190,105418.1
2017-04-01,Apixaban,NHS East Riding of Yorkshire CCG,02Y,301812,1601,73923.18
2017-04-01,Apixaban,NHS Hull CCG,03F,295969,1944,74807.42
2017-04-01,Apixaban,NHS North East Lincolnshire CCG,03H,168999,585,24140.14
2017-04-01,Apixaban,NHS North Lincolnshire CCG,03K,172933,812,36391.31
2017-04-01,Apixaban,NHS Rotherham CCG,03L,261299,1417,65529.21
2017-04-01,Apixaban,NHS Sheffield CCG,03N,594014,2762,112469.45
2017-04-01,Apixaban,NHS Vale of York CCG,03Q,352149,2240,103033.51
2017-04-01,Apixaban,NHS Wakefield CCG,03R,369362,1529,77529.7
2017-04-01,Apixaban,NHS East Leicestershire and Rutland CCG,03W,324913,1188,56845.51
2017-04-01,Apixaban,NHS Leicester City CCG,04C,399756,835,39610.59
2017-04-01,Apixaban,NHS West Leicestershire CCG,04V,385790,1014,46707.51
2017-04-01,Apixaban,NHS Cannock Chase CCG,04Y,132230,485,23665.25
2017-04-01,Apixaban,NHS East Staffordshire CCG,05D,140252,659,30969.32
2017-04-01,Apixaban,NHS North Staffordshire CCG,05G,217584,1166,58598.77
2017-04-01,Apixaban,NHS South East Staffordshire and Seisdon Peninsula CCG,05Q,211921,1297,50332.68
2017-04-01,Apixaban,NHS Stafford and Surrounds CCG,05V,148000,789,39645.68
2017-04-01,Apixaban,NHS Stoke on Trent CCG,05W,288930,1541,74965.18
2017-04-01,Apixaban,NHS Cambridgeshire and Peterborough CCG,06H,950334,1960,85630.43
2017-04-01,Apixaban,NHS East and North Hertfordshire CCG,06K,593218,3224,128020.13
2017-04-01,Apixaban,NHS Ipswich and East Suffolk CCG,06L,404021,1133,57066.22
2017-04-01,Apixaban,NHS Herts Valleys CCG,06N,639628,3489,157825.63
2017-04-01,Apixaban,NHS Mid Essex CCG,06Q,388191,1818,77211.77
2017-04-01,Apixaban,NHS North East Essex CCG,06T,347324,2809,132781.05
2017-04-01,Apixaban,NHS Thurrock CCG,07G,173932,874,37450.53
2017-04-01,Apixaban,NHS West Essex CCG,07H,308763,1259,55811.08
2017-04-01,Apixaban,NHS West Suffolk CCG,07K,248798,754,35006.12
2017-04-01,Apixaban,NHS Brighton and Hove CCG,09D,314684,254,12101.96
2017-04-01,Apixaban,NHS Oxfordshire CCG,10Q,730557,4039,181274.59
2017-04-01,Apixaban,NHS Portsmouth CCG,10R,227786,1118,52964.78
2017-04-01,Apixaban,NHS Dorset CCG,11J,795213,5034,261672.23
2017-04-01,Apixaban,NHS Gloucestershire CCG,11M,637652,1127,44845.67
2017-04-01,Apixaban,NHS Kernow CCG,11N,569229,1838,80788.45
2017-04-01,Apixaban,NHS Somerset CCG,11X,569279,2481,130916.43
2017-04-01,Apixaban,NHS Wirral CCG,12F,335180,2270,121026
2017-04-01,Apixaban,NHS Newcastle Gateshead CCG,13T,520882,1502,46079.17
2017-04-01,Apixaban,NHS Manchester CCG,14L,628281,1559,68085.25
2017-04-01,Apixaban,NHS Buckinghamshire CCG,14Y,553800,1860,94658.28
2017-04-01,Apixaban,NHS Berkshire West CCG,15A,536047,1765,85445.91
2017-04-01,Apixaban,"NHS Bristol, North Somerset and South Gloucestershire CCG",15C,992214,4684,173115.62
2017-04-01,Apixaban,NHS Birmingham and Solihull CCG,15E,1299053,5538,299998.26
2017-04-01,Apixaban,NHS Leeds CCG,15F,869206,2034,88870.99
2017-04-01,Apixaban,NHS Derby and Derbyshire CCG,15M,1042276,2467,128833.77
2017-04-01,Apixaban,NHS Devon CCG,15N,1211116,3165,134878.4
2017-04-01,Apixaban,NHS Tees Valley CCG,16C,698469,2463,111087.39
2017-04-01,Apixaban,NHS Herefordshire and Worcestershire CCG,18C,785660,3694,169108.42
2017-04-01,Apixaban,NHS Norfolk and Waveney CCG,26A,1043657,3086,139948.35
2017-04-01,Apixaban,NHS Cheshire CCG,27D,757598,3764,182214.65
2017-04-01,Apixaban,NHS Bradford District and Craven CCG,36J,627236,1146,43994.59
2017-04-01,Apixaban,NHS South West London CCG,36L,1638742,3605,131938.27
2017-04-01,Apixaban,NHS North Yorkshire CCG,42D,425113,1662,75358.68
2017-04-01,Apixaban,NHS Nottingham and Nottinghamshire CCG,52R,1067261,2378,116890.58
2017-04-01,Apixaban,NHS West Sussex CCG,70F,879939,3714,192167.19
2017-04-01,Apixaban,NHS Lincolnshire CCG,71E,782735,6191,235186.94
2017-04-01,Apixaban,NHS South East London CCG,72Q,1924650,3218,141168.54
2017-04-01,Apixaban,NHS Northamptonshire CCG,78H,750462,2341,109094.36
2017-04-01,Apixaban,NHS County Durham CCG,84H,547163,3213,104738.01
2017-04-01,Apixaban,NHS Kent and Medway CCG,91Q,1865225,6899,335286.91
2017-04-01,Apixaban,NHS Surrey Heartlands CCG,92A,1082290,2248,116523.32
2017-04-01,Apixaban,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",92G,921467,7210,311133.82
2017-04-01,Apixaban,NHS North Central London CCG,93C,1587137,2679,115300.39
2017-04-01,Apixaban,NHS East Sussex CCG,97R,552455,1870,92863.1
2017-04-01,Apixaban,NHS Liverpool CCG,99A,523069,1935,91890.83
2017-04-01,Apixaban,NHS North Tyneside CCG,99C,218237,1016,32872.25
2017-04-01,Apixaban,NHS Basildon and Brentwood CCG,99E,276479,1337,65712.17
2017-04-01,Apixaban,NHS Castle Point and Rochford CCG,99F,184576,973,49770.67
2017-04-01,Apixaban,NHS Southend CCG,99G,187084,801,45972.74
2017-04-01,Apixaban,NHS North East London CCG,A3A8R,2128897,5568,197384.57
2017-04-01,Apixaban,NHS Coventry and Warwickshire CCG,B2M3M,976018,826,39889.91
2017-04-01,Apixaban,NHS Black Country and West Birmingham CCG,D2P2L,1445324,2771,140324.04
2017-04-01,Apixaban,NHS Frimley CCG,D4U1Y,776272,2404,122299.06
2017-04-01,Apixaban,"NHS Hampshire, Southampton and Isle of Wight CCG",D9Y0V,1626583,7025,379861.61
2017-04-01,Apixaban,"NHS Bedfordshire, Luton and Milton Keynes CCG",M1J4Y,994045,3725,188040.77
2017-04-01,Apixaban,"NHS Shropshire, Telford and Wrekin CCG",M2L0M,490827,2214,114006.05
2017-04-01,Apixaban,NHS North West London CCG,W2U3Z,2357987,6589,240249.77
2017-04-01,Apixaban,NHS Kirklees CCG,X2C4Y,438906,1594,63307.22
2017-05-01,Apixaban,NHS Northumberland CCG,00L,323670,1752,65982.62
2017-05-01,Apixaban,NHS South Tyneside CCG,00N,156452,1490,49965.82
2017-05-01,Apixaban,NHS Sunderland CCG,00P,283826,2118,68855.54
2017-05-01,Apixaban,NHS Blackburn with Darwen CCG,00Q,173826,405,21023.71
2017-05-01,Apixaban,NHS Blackpool CCG,00R,172937,886,36947.09
2017-05-01,Apixaban,NHS Bolton CCG,00T,306860,1444,66501.62
2017-05-01,Apixaban,NHS Bury CCG,00V,202510,1198,63721.74
2017-05-01,Apixaban,NHS Chorley and South Ribble CCG,00X,181923,850,43105.33
2017-05-01,Apixaban,NHS Oldham CCG,00Y,252870,1141,54801.17
2017-05-01,Apixaban,NHS East Lancashire CCG,01A,379068,1081,52154.36
2017-05-01,Apixaban,"NHS Heywood, Middleton and Rochdale CCG",01D,231126,1110,55226.61
2017-05-01,Apixaban,NHS Greater Preston CCG,01E,206343,852,36906.1
2017-05-01,Apixaban,NHS Halton CCG,01F,130638,982,52600.31
2017-05-01,Apixaban,NHS Salford CCG,01G,267963,1140,35370.04
2017-05-01,Apixaban,NHS North Cumbria CCG,01H,323029,1534,71352.98
2017-05-01,Apixaban,NHS Knowsley CCG,01J,163655,1032,50861.68
2017-05-01,Apixaban,NHS Morecambe Bay CCG,01K,349790,692,31077.12
