date,chemical,bnf_code,ods_code,gss_code,name,items,quantity,actual_cost,total_list_size
2017-10-01,Apixaban,0208020Z0,06N,E38000079,NHS Hertfordshire and West Essex ICB - 06N,4860,240545,211653.82,643228
2017-10-01,Apixaban,0208020Z0,06Q,E38000106,NHS Mid and South Essex ICB - 06Q,2471,120547,105990.62,390061
2017-10-01,Apixaban,0208020Z0,06T,E38000117,NHS Suffolk and North East Essex ICB - 06T,3549,188808,165982.15,348600
2017-10-01,Apixaban,0208020Z0,07G,E38000185,NHS Mid and South Essex ICB - 07G,1317,64026,56301.12,175112
2017-10-01,Apixaban,0208020Z0,07H,E38000197,NHS Hertfordshire and West Essex ICB - 07H,1721,84651,74442.5,311063
2017-10-01,Apixaban,0208020Z0,07K,E38000204,NHS Suffolk and North East Essex ICB - 07K,1048,54638,48026.8,250071
2017-10-01,Apixaban,0208020Z0,09D,E38000021,NHS Sussex ICB - 09D,399,19011,16728.1,315307
2017-10-01,Apixaban,0208020Z0,10Q,E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",6112,307733,270643.73,738980
2017-10-01,Apixaban,0208020Z0,10R,E38000137,NHS Hampshire and Isle of Wight ICB - 10R,1424,78366,68950.57,227938
2017-10-01,Apixaban,0208020Z0,11J,E38000045,NHS Dorset ICB - 11J,6557,390367,343155.62,799189
2017-10-01,Apixaban,0208020Z0,11M,E38000062,NHS Gloucestershire ICB - 11M,1651,69326,61009.41,643343
2017-10-01,Apixaban,0208020Z0,11N,E38000089,NHS Cornwall and the Isles of Scilly ICB - 11N,2556,129210,113611.36,573461
2017-10-01,Apixaban,0208020Z0,11X,E38000150,NHS Somerset ICB - 11X,3363,202253,177780.97,572819
2017-10-01,Apixaban,0208020Z0,12F,E38000208,NHS Cheshire and Merseyside ICB - 12F,3049,180072,158305.41,336150
2017-10-01,Apixaban,0208020Z0,13T,E38000212,NHS North East and North Cumbria ICB - 13T,2248,80202,70641.5,523492
2017-10-01,Apixaban,0208020Z0,14L,E38000217,NHS Greater Manchester ICB - 14L,2090,102256,89938.45,635683
2017-10-01,Apixaban,0208020Z0,14Y,E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",2591,151015,132773.25,556941
2017-10-01,Apixaban,0208020Z0,15A,E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",2494,137941,121286.54,540783
2017-10-01,Apixaban,0208020Z0,15C,E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",6533,281245,247572,999318
2017-10-01,Apixaban,0208020Z0,15E,E38000258,NHS Birmingham and Solihull ICB - 15E,7444,462226,406383.05,1490544
2017-10-01,Apixaban,0208020Z0,15F,E38000225,NHS West Yorkshire ICB - 15F,2753,134896,118669.43,875991
2017-10-01,Apixaban,0208020Z0,15M,E38000261,NHS Derby and Derbyshire ICB - 15M,3569,223385,196389.05,1079373
2017-10-01,Apixaban,0208020Z0,15N,E38000230,NHS Devon ICB - 15N,4484,222071,195327.04,1218487
2017-10-01,Apixaban,0208020Z0,16C,E38000247,NHS North East and North Cumbria ICB - 16C,3619,178567,157057.34,699899
2017-10-01,Apixaban,0208020Z0,18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,4613,244154,214697.76,790061
2017-10-01,Apixaban,0208020Z0,26A,E38000239,NHS Norfolk and Waveney ICB - 26A,3948,205771,180890.63,1048868
2017-10-01,Apixaban,0208020Z0,27D,E38000233,NHS Cheshire and Merseyside ICB - 27D,4905,267100,234868.37,761204
2017-10-01,Apixaban,0208020Z0,36J,E38000232,NHS West Yorkshire ICB - 36J,1528,66455,58477.23,629838
2017-10-01,Apixaban,0208020Z0,36L,E38000245,NHS South West London ICB - 36L,5249,216368,190482.7,1655229
2017-10-01,Apixaban,0208020Z0,42D,E38000241,NHS Humber and North Yorkshire ICB - 42D,2268,114646,100779.76,427078
2017-10-01,Apixaban,0208020Z0,52R,E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,3326,183144,161041.92,1075629
2017-10-01,Apixaban,0208020Z0,70F,E38000248,NHS Sussex ICB - 70F,4854,280010,246209.03,885548
2017-10-01,Apixaban,0208020Z0,71E,E38000238,NHS Lincolnshire ICB - 71E,8070,346167,304416.53,786844
2017-10-01,Apixaban,0208020Z0,72Q,E38000244,NHS South East London ICB - 72Q,4489,222449,195741.39,1945629
2017-10-01,Apixaban,0208020Z0,78H,E38000262,NHS Northamptonshire ICB - 78H,3544,186669,164084.83,768606
2017-10-01,Apixaban,0208020Z0,84H,E38000234,NHS North East and North Cumbria ICB - 84H,4168,157585,138736.24,547649
2017-10-01,Apixaban,0208020Z0,91Q,E38000237,NHS Kent and Medway ICB - 91Q,9049,490908,431685.31,1873824
2017-10-01,Apixaban,0208020Z0,92A,E38000246,NHS Surrey Heartlands ICB - 92A,3009,177864,156407.15,1084869
2017-10-01,Apixaban,0208020Z0,92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",9009,443504,390091.54,927252
2017-10-01,Apixaban,0208020Z0,93C,E38000240,NHS North Central London ICB - 93C,4202,203639,179187.57,1603917
2017-10-01,Apixaban,0208020Z0,97R,E38000235,NHS Sussex ICB - 97R,2686,150123,131992.49,553941
2017-10-01,Apixaban,0208020Z0,99A,E38000101,NHS Cheshire and Merseyside ICB - 99A,2570,138142,121472.37,527962
2017-10-01,Apixaban,0208020Z0,99C,E38000127,NHS North East and North Cumbria ICB - 99C,1456,53807,47388.22,218814
2017-10-01,Apixaban,0208020Z0,99E,E38000007,NHS Mid and South Essex ICB - 99E,1780,104497,91865.94,277607
2017-10-01,Apixaban,0208020Z0,99F,E38000030,NHS Mid and South Essex ICB - 99F,1324,77150,67830.98,184834
2017-10-01,Apixaban,0208020Z0,99G,E38000168,NHS Mid and South Essex ICB - 99G,946,63284,55626.26,188009
2017-10-01,Apixaban,0208020Z0,A3A8R,E38000255,NHS North East London ICB - A3A8R,7337,298452,262750.57,2158026
2017-10-01,Apixaban,0208020Z0,B2M3M,E38000251,NHS Coventry and Warwickshire ICB - B2M3M,1436,78037,68609.08,986343
2017-10-01,Apixaban,0208020Z0,D2P2L,E38000259,NHS Black Country ICB - D2P2L,3644,210769,185348.52,1270459
2017-10-01,Apixaban,0208020Z0,D4U1Y,E38000252,NHS Frimley ICB - D4U1Y,3356,191406,168329.71,780618
2017-10-01,Apixaban,0208020Z0,D9Y0V,E38000253,NHS Hampshire and Isle of Wight ICB - D9Y0V,8980,552133,485465.89,1635957
2017-10-01,Apixaban,0208020Z0,M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",5066,292599,257213.9,1001016
2017-10-01,Apixaban,0208020Z0,M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",2851,165886,145849.18,493536
2017-10-01,Apixaban,0208020Z0,W2U3Z,E38000256,NHS North West London ICB - W2U3Z,9624,392670,345741.02,2386794
2017-10-01,Apixaban,0208020Z0,X2C4Y,E38000254,NHS West Yorkshire ICB - X2C4Y,2155,92035,81052.7,441263
2017-11-01,Apixaban,0208020Z0,00L,E38000130,NHS North East and North Cumbria ICB - 00L,2245,97636,86044.28,324516
2017-11-01,Apixaban,0208020Z0,00N,E38000163,NHS North East and North Cumbria ICB - 00N,1709,66584,58720.94,156802
2017-11-01,Apixaban,0208020Z0,00P,E38000176,NHS North East and North Cumbria ICB - 00P,2651,97049,85610.79,283976
2017-11-01,Apixaban,0208020Z0,00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,511,30275,26659.56,174573
2017-11-01,Apixaban,0208020Z0,00R,E38000015,NHS Lancashire and South Cumbria ICB - 00R,1054,50912,44858.68,173320
2017-11-01,Apixaban,0208020Z0,00T,E38000016,NHS Greater Manchester ICB - 00T,1919,103985,91592.02,308386
2017-11-01,Apixaban,0208020Z0,00V,E38000024,NHS Greater Manchester ICB - 00V,1416,85962,75686.6,203439
2017-11-01,Apixaban,0208020Z0,00X,E38000034,NHS Lancashire and South Cumbria ICB - 00X,1018,58054,51133.94,182973
2017-11-01,Apixaban,0208020Z0,00Y,E38000135,NHS Greater Manchester ICB - 00Y,1397,76631,67493.17,253893
2017-11-01,Apixaban,0208020Z0,01A,E38000050,NHS Lancashire and South Cumbria ICB - 01A,1449,77942,68643.53,380839
2017-11-01,Apixaban,0208020Z0,01D,E38000080,NHS Greater Manchester ICB - 01D,1394,81997,72206.07,232581
2017-11-01,Apixaban,0208020Z0,01E,E38000227,NHS Lancashire and South Cumbria ICB - 01E,986,50146,44179.7,208636
2017-11-01,Apixaban,0208020Z0,01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,1213,72402,63751.88,130909
2017-11-01,Apixaban,0208020Z0,01G,E38000143,NHS Greater Manchester ICB - 01G,1500,50293,44373.64,270916
2017-11-01,Apixaban,0208020Z0,01H,E38000215,NHS North East and North Cumbria ICB - 01H,1893,99966,88031.45,323793
2017-11-01,Apixaban,0208020Z0,01J,E38000091,NHS Cheshire and Merseyside ICB - 01J,1199,67176,59157.56,164490
2017-11-01,Apixaban,0208020Z0,01K,E38000228,NHS Lancashire and South Cumbria ICB - 01K,900,44980,39617.37,345659
2017-11-01,Apixaban,0208020Z0,01T,E38000161,NHS Cheshire and Merseyside ICB - 01T,982,55274,48671.91,154463
2017-11-01,Apixaban,0208020Z0,01V,E38000170,NHS Cheshire and Merseyside ICB - 01V,1586,79326,69885.88,124764
2017-11-01,Apixaban,0208020Z0,01W,E38000174,NHS Greater Manchester ICB - 01W,2631,135539,119412.97,310957
2017-11-01,Apixaban,0208020Z0,01X,E38000172,NHS Cheshire and Merseyside ICB - 01X,1871,109448,96379.52,197384
2017-11-01,Apixaban,0208020Z0,01Y,E38000263,NHS Greater Manchester ICB - 01Y,884,50714,44668.28,214848
2017-11-01,Apixaban,0208020Z0,02A,E38000187,NHS Greater Manchester ICB - 02A,2167,90670,79934.94,241361
2017-11-01,Apixaban,0208020Z0,02E,E38000194,NHS Cheshire and Merseyside ICB - 02E,1527,92434,81384.96,217674
2017-11-01,Apixaban,0208020Z0,02G,E38000200,NHS Lancashire and South Cumbria ICB - 02G,815,45788,40326.97,113701
2017-11-01,Apixaban,0208020Z0,02H,E38000205,NHS Greater Manchester ICB - 02H,1473,95722,84274.69,326766
2017-11-01,Apixaban,0208020Z0,02M,E38000226,NHS Lancashire and South Cumbria ICB - 02M,1274,62182,54773.55,177552
2017-11-01,Apixaban,0208020Z0,02P,E38000006,NHS South Yorkshire ICB - 02P,3195,119792,105625.9,259114
2017-11-01,Apixaban,0208020Z0,02Q,E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,1414,80871,71218.77,116882
2017-11-01,Apixaban,0208020Z0,02T,E38000025,NHS West Yorkshire ICB - 02T,1744,70209,61909.56,219185
2017-11-01,Apixaban,0208020Z0,02X,E38000044,NHS South Yorkshire ICB - 02X,2912,159621,140560.25,319543
2017-11-01,Apixaban,0208020Z0,02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,2360,122299,107685.42,303397
2017-11-01,Apixaban,0208020Z0,03F,E38000085,NHS Humber and North Yorkshire ICB - 03F,2714,114056,100508.19,297806
2017-11-01,Apixaban,0208020Z0,03H,E38000119,NHS Humber and North Yorkshire ICB - 03H,874,40321,35520.88,169497
2017-11-01,Apixaban,0208020Z0,03K,E38000122,NHS Humber and North Yorkshire ICB - 03K,1097,55884,49203.53,174010
2017-11-01,Apixaban,0208020Z0,03L,E38000141,NHS South Yorkshire ICB - 03L,1911,100448,88456.21,262557
2017-11-01,Apixaban,0208020Z0,03N,E38000146,NHS South Yorkshire ICB - 03N,3802,170022,149826.15,601235
2017-11-01,Apixaban,0208020Z0,03Q,E38000188,NHS Humber and North Yorkshire ICB - 03Q,2960,158470,139539.82,356153
2017-11-01,Apixaban,0208020Z0,03R,E38000190,NHS West Yorkshire ICB - 03R,2237,123339,108616.58,371704
2017-11-01,Apixaban,0208020Z0,03W,E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",1677,92416,81379,329476
2017-11-01,Apixaban,0208020Z0,04C,E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",1216,67111,59094.03,406130
2017-11-01,Apixaban,0208020Z0,04V,E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",1732,90051,79306.06,391188
2017-11-01,Apixaban,0208020Z0,04Y,E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,686,39851,35096.53,132725
2017-11-01,Apixaban,0208020Z0,05D,E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,966,53856,47425.05,141270
2017-11-01,Apixaban,0208020Z0,05G,E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,1685,96003,84533.94,218262
2017-11-01,Apixaban,0208020Z0,05Q,E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,1726,79526,70087.22,212053
2017-11-01,Apixaban,0208020Z0,05V,E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,1098,61787,54410.13,148810
2017-11-01,Apixaban,0208020Z0,05W,E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,2231,125584,110592.47,290269
2017-11-01,Apixaban,0208020Z0,06H,E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,2937,147499,129891.8,950523
2017-11-01,Apixaban,0208020Z0,06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,4618,204428,180123.99,596521
2017-11-01,Apixaban,0208020Z0,06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,1814,101219,89156.75,406058
2017-11-01,Apixaban,0208020Z0,06N,E38000079,NHS Hertfordshire and West Essex ICB - 06N,5038,254353,224155.55,643439
2017-11-01,Apixaban,0208020Z0,06Q,E38000106,NHS Mid and South Essex ICB - 06Q,2453,120240,105894.87,390180
2017-11-01,Apixaban,0208020Z0,06T,E38000117,NHS Suffolk and North East Essex ICB - 06T,3651,195409,172066.76,350433
2017-11-01,Apixaban,0208020Z0,07G,E38000185,NHS Mid and South Essex ICB - 07G,1320,63780,56178.08,175153
2017-11-01,Apixaban,0208020Z0,07H,E38000197,NHS Hertfordshire and West Essex ICB - 07H,1818,90416,79642.69,311365
2017-11-01,Apixaban,0208020Z0,07K,E38000204,NHS Suffolk and North East Essex ICB - 07K,1075,56020,49323.08,249998
2017-11-01,Apixaban,0208020Z0,09D,E38000021,NHS Sussex ICB - 09D,434,22036,19417.86,316786
2017-11-01,Apixaban,0208020Z0,10Q,E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",6139,306642,270123.5,741393
2017-11-01,Apixaban,0208020Z0,10R,E38000137,NHS Hampshire and Isle of Wight ICB - 10R,1453,76728,67628.52,228806
2017-11-01,Apixaban,0208020Z0,11J,E38000045,NHS Dorset ICB - 11J,6840,410751,361666.38,800271
2017-11-01,Apixaban,0208020Z0,11M,E38000062,NHS Gloucestershire ICB - 11M,1681,75406,66454.21,644254
2017-11-01,Apixaban,0208020Z0,11N,E38000089,NHS Cornwall and the Isles of Scilly ICB - 11N,2704,137299,120899.38,573942
2017-11-01,Apixaban,0208020Z0,11X,E38000150,NHS Somerset ICB - 11X,3452,208929,183952.73,573002
2017-11-01,Apixaban,0208020Z0,12F,E38000208,NHS Cheshire and Merseyside ICB - 12F,3251,194314,171105.47,336102
2017-11-01,Apixaban,0208020Z0,13T,E38000212,NHS North East and North Cumbria ICB - 13T,2361,81729,72113.92,525829
2017-11-01,Apixaban,0208020Z0,14L,E38000217,NHS Greater Manchester ICB - 14L,2285,111297,98050.49,637861
2017-11-01,Apixaban,0208020Z0,14Y,E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",2657,151884,133759.24,556995
2017-11-01,Apixaban,0208020Z0,15A,E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",2543,143506,126379.69,542009
2017-11-01,Apixaban,0208020Z0,15C,E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",6772,296120,261081.85,1003171
2017-11-01,Apixaban,0208020Z0,15E,E38000258,NHS Birmingham and Solihull ICB - 15E,7328,454756,400473.75,1487691
2017-11-01,Apixaban,0208020Z0,15F,E38000225,NHS West Yorkshire ICB - 15F,2907,143926,126811.74,877890
2017-11-01,Apixaban,0208020Z0,15M,E38000261,NHS Derby and Derbyshire ICB - 15M,3720,232734,204943.78,1079569
2017-11-01,Apixaban,0208020Z0,15N,E38000230,NHS Devon ICB - 15N,4888,240696,212055.66,1221304
2017-11-01,Apixaban,0208020Z0,16C,E38000247,NHS North East and North Cumbria ICB - 16C,3679,179968,158554.14,700244
2017-11-01,Apixaban,0208020Z0,18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,4897,261522,230343.36,790422
2017-11-01,Apixaban,0208020Z0,26A,E38000239,NHS Norfolk and Waveney ICB - 26A,4049,211290,186051.01,1050693
2017-11-01,Apixaban,0208020Z0,27D,E38000233,NHS Cheshire and Merseyside ICB - 27D,5155,284649,250700.66,762116
2017-11-01,Apixaban,0208020Z0,36J,E38000232,NHS West Yorkshire ICB - 36J,1591,66335,58482.48,630121
2017-11-01,Apixaban,0208020Z0,36L,E38000245,NHS South West London ICB - 36L,5591,229827,202669.49,1656789
2017-11-01,Apixaban,0208020Z0,42D,E38000241,NHS Humber and North Yorkshire ICB - 42D,2345,120657,106236.1,426910
2017-11-01,Apixaban,0208020Z0,52R,E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,3483,194858,171620.17,1078670
2017-11-01,Apixaban,0208020Z0,70F,E38000248,NHS Sussex ICB - 70F,5040,292429,257546.71,885887
2017-11-01,Apixaban,0208020Z0,71E,E38000238,NHS Lincolnshire ICB - 71E,8362,359029,316250.88,787113
2017-11-01,Apixaban,0208020Z0,72Q,E38000244,NHS South East London ICB - 72Q,4697,233071,205426.5,1949407
2017-11-01,Apixaban,0208020Z0,78H,E38000262,NHS Northamptonshire ICB - 78H,3821,201936,177793.06,769524
2017-11-01,Apixaban,0208020Z0,84H,E38000234,NHS North East and North Cumbria ICB - 84H,4491,163284,144009.53,550995
2017-11-01,Apixaban,0208020Z0,91Q,E38000237,NHS Kent and Medway ICB - 91Q,9408,515372,453932.6,1876333
2017-11-01,Apixaban,0208020Z0,92A,E38000246,NHS Surrey Heartlands ICB - 92A,3142,184419,162442.9,1085004
2017-11-01,Apixaban,0208020Z0,92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",9415,458610,404051.48,929509
2017-11-01,Apixaban,0208020Z0,93C,E38000240,NHS North Central London ICB - 93C,4337,213662,188305.75,1609110
2017-11-01,Apixaban,0208020Z0,97R,E38000235,NHS Sussex ICB - 97R,2787,155993,137371.99,554488
2017-11-01,Apixaban,0208020Z0,99A,E38000101,NHS Cheshire and Merseyside ICB - 99A,2636,142557,125561.79,530717
2017-11-01,Apixaban,0208020Z0,99C,E38000127,NHS North East and North Cumbria ICB - 99C,1550,59790,52733.11,218861
2017-11-01,Apixaban,0208020Z0,99E,E38000007,NHS Mid and South Essex ICB - 99E,1848,109331,96273.25,277734
2017-11-01,Apixaban,0208020Z0,99F,E38000030,NHS Mid and South Essex ICB - 99F,1324,78294,68948.46,184777
2017-11-01,Apixaban,0208020Z0,99G,E38000168,NHS Mid and South Essex ICB - 99G,988,64802,57054.69,188059
2017-11-01,Apixaban,0208020Z0,A3A8R,E38000255,NHS North East London ICB - A3A8R,7681,315325,278049.33,2163049
2017-11-01,Apixaban,0208020Z0,B2M3M,E38000251,NHS Coventry and Warwickshire ICB - B2M3M,1516,81307,71602.88,989580
2017-11-01,Apixaban,0208020Z0,D2P2L,E38000259,NHS Black Country ICB - D2P2L,3696,213636,188176.84,1271583
2017-11-01,Apixaban,0208020Z0,D4U1Y,E38000252,NHS Frimley ICB - D4U1Y,3466,199003,175300.46,781104
2017-11-01,Apixaban,0208020Z0,D9Y0V,E38000253,NHS Hampshire and Isle of Wight ICB - D9Y0V,9325,576449,507672.3,1638007
2017-11-01,Apixaban,0208020Z0,M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",5305,304857,268437.56,1001926
2017-11-01,Apixaban,0208020Z0,M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",2968,173899,153138.23,494256
2017-11-01,Apixaban,0208020Z0,W2U3Z,E38000256,NHS North West London ICB - W2U3Z,9871,404201,356480.03,2395155
2017-11-01,Apixaban,0208020Z0,X2C4Y,E38000254,NHS West Yorkshire ICB - X2C4Y,2213,97098,85593.49,441404
2017-12-01,Apixaban,0208020Z0,00L,E38000130,NHS North East and North Cumbria ICB - 00L,2389,102785,90620.96,324712
2017-12-01,Apixaban,0208020Z0,00N,E38000163,NHS North East and North Cumbria ICB - 00N,1600,62528,55162.91,156943
2017-12-01,Apixaban,0208020Z0,00P,E38000176,NHS North East and North Cumbria ICB - 00P,2675,99561,87856.46,284097
2017-12-01,Apixaban,0208020Z0,00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,547,31553,27798.39,174606
